id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item,product_name,brand_id,brand_name
152700947,2328297621872," Thương hiệu : MyJaeTên sản phẩm : Bộ lau nhà thông mình xoay 360 độ lau sạch khô nhanh MyJaeMàu sắc : Trắng, Xanh láChất liệu : Thép không gỉ, nhựa, sợi microfiberBông lau sợi nhỏ thủ c...",299000,690000,,391000,57,14,,available,,1000,,3807547,MyJae
83412126,2186358773080,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng: Đẩy sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng: Dễ dàng thêm đá viên và chùi ...,272000,528000,,256000,48,156,,available,,1000,,48077,Lock&Lock
73124602,7494611465205,Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) - Xanh Đậm thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình g...,351000,677000,,326000,48,238,,available,,1000,,48077,Lock&Lock
1657931,2083613875744,"Vợt Muỗi Sunhouse SHE-E250 có kiểu dáng gọn nhẹ với thiết kế lưới điện an toàn, được làm bằng 2 lớp lưới nhôm (bên ngoài) và 1 lớp lưới sắt (bên trong), giúp tiêu diệt muỗi nhanh chóng.Sản phẩm có kh...",82000,119000,,37000,31,961,,available,,1000,,41048,Sunhouse
189252861,8857433298161,- Gỗ thông mới nhập khẩu: gỗ thông mặt rộng 10cm x dày 1cm + gia công láng mịn 4 mặt - Số lượng: 1 Tấm gỗ thông mới dài 50cm x mặt rộng 10cm x độ dày 1cm + gia công láng mịn 4 mặt -----------------...,14000,14000,,0,0,0,,available,,1000,,111461,OEM
126725438,8006443189097,"Chất liệu: vải cách nhiệt (1 mặt mút xốp, 1 mặt tráng bạc) - viền vải không dệtÊm ái - gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng xếp gọn và vệ sinh dễ dàngCho giấc ngủ trưa ngon, không n...",40000,40000,,0,0,158,,available,,1000,,5187537,GINGOOD
99868980,5466758134944,"Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 có tay cầm chắc chắn thuận tiện mang đi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh.Miệng bình rộng đủ để vệ sinh bên trong và thêm đá viên.Với...",289000,289000,,0,0,39,,available,,1000,,48077,Lock&Lock
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt ...,439000,799000,,360000,45,3210,,available,,1000,,746615,Parroti
137673053,3272220328028,"       Bạn mệt mỏi vì đường ống thoát nước rửa bát bị tắc, bạn mệt mỏi vì phải lau rửa bồn rửa bát chứa nhiều cặn bẩn. Túi lọc rác bồn rửa bát có công dụng lọc các cặn bẩn, các mẩu vụn thức ăn tro...",31000,31000,,0,0,2,,available,,1000,,111461,OEM
58804363,7785294673323,"Lực băm nghiền mạnh nhờ hoạt động bằng phương pháp xoay và ba lưỡi dao bằng thép không gỉ.Nếu bạn kéo thanh kéo nhiều lần, ba lưỡi dao sẽ quay nhanh và băm đều rau củ.Lưỡi dao bằng thép không gỉ khô...",92000,171000,,79000,46,134,,available,,1000,,48077,Lock&Lock
73125530,4485355058795,"Hộp cơm thủy tinh kèm muỗng đũa LocknLock LLG991CL 930ml thiết kế vách ngăn giúp thực phẩm không bị trộn lẫn khi bỏ vào chung một hộp.Borosilicate là thủy tinh chịu nhiệt (lên tới 120 độ C), an toà...",195000,362000,,167000,46,1003,,available,,1000,,48077,Lock&Lock
56941523,4192161694351,"Ly nhựa 2 lớp LocknLock kèm ống hút HAP507 750ml hai lớp cách nhiệt tốt, ngăn chặn sự ảnh hưởng từ nhiệt độ bên ngoài. Bề mặt ly ít bị đọng nước dù bạn dùng ly để đựng nước đá.Miệng ly rộng giúp bạ...",117000,217000,,100000,46,72,,available,,1000,,48077,Lock&Lock
97046291,5642495004587,"       Giường gấp xếp văn phòng, giường xếp gấp gọn phù hợp văn phòng, bệnh viện, phòng trọ sinh viên Canashop   ================================================================   Kích thước khi...",2298000,2298000,,0,0,0,,available,,1000,,111461,OEM
122692850,5498033650829,"Chổi cọ sàn vệ sinh Parroti Easy ES02 được thiết kế tinh tế, cây chổi làm bằng nhôm cao cấp, có thể điều chỉnh độ dài linh hoạt phù hợp không gian phòng tắm. Cộng với tính năng vừa chà vừa gạt nước t...",150000,199000,,49000,25,579,,available,,1000,,746615,Parroti
99621372,4566919726066,"Bình giữ nhiệt Lock&Lock Belt Bottle LHC4267 490ml với quai xách kiểu dáng dây đai giúp dễ dàng mang đi.Tay cầm TPE ngăn nắp rơi ra và mất, dây đai cố định nắp trong khi uống.Nắp được giữ cố ...",426000,473000,,47000,10,801,,available,,1000,,48077,Lock&Lock
1918591,4964968185253,"Keo Dán Giày, Dây Nịt Đa Năng Selleys Kwik Grip là dòng keo kết dính đàn hôi, thích hợp cho việc dán các vật có bề mặt thấm nước và khống thấm nước, bề mặt đứng thẳng hoặc những bề mặt khó cố định.S...",35000,35000,,0,0,310,,available,,1000,,52977,Selleys
189273145,4833736444921,- Gỗ thông mới nhập khẩu: gỗ thông 1cm x 2cm x gia công láng mịn 4 mặt- Số lượng: 1 thanh gỗ thông mới: Dài 120cm x mặt rộng 2cm x độ dày 1cm + láng mịn 4 mặt--------------- Gỗ thông được đánh giá ...,9000,9000,,0,0,0,,available,,1000,,111461,OEM
11488920,6235877269401,#binhgiunhiet #binhcachnhiet #binhgiunhietlocklock #lygiunhiet #binhgiunhietlockandlock #binhnuoclocklock #binhnuocgiunhiet #binhlock&lock #binhgiunhietinox #binhlocklock #binhnuoclock #lock&...,369000,715000,,346000,48,311,,available,,1000,,48077,Lock&Lock
53583472,4451468802389,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hiệ...",900000,1667000,,767000,46,233,,available,,1000,,48077,Lock&Lock
174378686,4274669666486,"Miếng gảy đàn guitar, ukulele/ Pick guitar, ukulele Alice AP-ALT Colorful Celluloid Picks (Large Triangle) - Độ dày 0.46mm - Màu ngẫu nhiên - Hàng chính hãngMiếng gảy đàn guitar, ukulele Alice AP-A ...",15000,30000,,15000,50,0,,available,,1000,,143249,Alice
50961038,8764127071962,"Hộp lưu trữ ngăn chuyên dụng làm bằng chất liệu coplan siêu bền và linh hoạt, rất tiện dụngCùng khám phá chiêc hộp Curve living box có những đường cong mềm mạiChất liệu CoplanXuất xứ KoreaThi...",199000,201000,,2000,1,75,,available,,1000,,111461,OEM
14453485,6845909974427,Sản phẩm chất lượngGiá cả hợp lýKiểu dáng nhỏ gọnSử dụng tiện lợi...,12000,12000,,0,0,0,,available,,1000,,111461,OEM
52504270,2215202432605,"Chiếu Mây Điều Hòa Cao CấpChiếu mây điều hòa hay còn gọi là chiếu sợi mây điều hòa nguyên bản được làm từ chất liệu là các sợi mây đan vào nhau, mặt dưới là lớp lót bằng vải không, viền xung quanh ch...",239000,259000,,20000,8,398,,available,,1000,,697923,LIDACO
57867024,5400823422204,"Bộ Lau Nhà Xoay 360 Độ Sunhouse Ks-Cl350PO được thiết kế tiện dụng với thùng vắt làm bằng nhựa nguyên sinh PP siêu bền với màu cam bắt mắt. Kích thước phù hợp giúp bạn thoải mái giặt, vắt mà không lo...",316599,316599,,0,0,0,,available,,1000,,41048,Sunhouse
68847758,5061812628290,"Thang ghế Sumika 5 bậc SK305 là công cụ hoàn hảo khi bạn cần thêm một chút chiều cao cho các công việc trong phòng khách, nhà bếp, phòng tắm hoặc văn phòng. Sumika SK305 đạt tiêu chuẩn chất lượng EN13...",820000,1000000,,180000,18,64,,available,,1000,,51302,Sumika
122700651,3825108800822,"Chổi cọ sàn vệ sinh Parroti Shiny SN01 được thiết kế tinh tế, cán làm bằng nhôm cao cấp, có thể điều chỉnh độ dài linh hoạt phù hợp độ cao của cửa sổ. Cộng với tính năng vừa chà vừa gạt nước thông mi...",150000,199000,,49000,25,402,,available,,1000,,746615,Parroti
99994000,9415199298102,"Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268 thiết kế tay cầm chắc chắn giúp bạn thuận tiện mang theo mọi lúc mọi nơi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh...",279000,279000,,0,0,35,,available,,1000,,48077,Lock&Lock
173211404,7514928433043,"DELI OA OFFICIAL STORE 1.Thông tin sản phẩm:- Tên sản phẩm: Ghế xoay, Ghế xoay văn phòng làm việc- Mã sản phẩm: E4928 2. Thông tin chi tiết- Trọng lượng: 7.6kg - 9.1kg- Chất liệu: Chân và khun...",649000,1348200,,699200,52,163,,available,,1000,,46703,Deli
149617968,5120131025473,"Thùng đựng gạo thông minh M&L - sản phẩm không thể thiếu trong căn bếp hiện đại của bạn. Thay đổi cách lưu trữ gạo không an toàn, bảo vệ sức khỏe gia đình bạnĐẶC ĐIỂM NỔI BẬTThùng đựng ngũ cốc th...",349000,538000,,189000,35,40,,available,,1000,,262521,M&L
84566545,3448170956202,Ổ cắm đa năng USB Nakagami công nghệ Nhật Bản. Sản phẩm ổ cắm điện Nakagami có thiết kế kiểu dáng nhỏ gọn có thể sử dụng đa năng cho nhiều vị trí trong gia đình bạn. Thiết kế bao gồm 2 lỗ cắm USB và ...,149000,155000,,6000,4,712,,available,,1000,,290071,Nakagami
71890908,5955369732589,Bộ lau nhà là vật dụng cần thiết cho mỗi gia đình. Sản phẩm Bộ lau nhà xoay 360 độ SUNHOUSE KS-CL330S bao gồm một thùng giặt có chứa lồng vắt và 1 cây lau. Với điểm nhấn là bộ tạo chuyển động 360 độ ...,288000,412000,,124000,30,123,,available,,1000,,41048,Sunhouse
2119173,3784672643501,"Cây Lau Nhà Dạng Xịt Nước Lock&Lock ETM472 thiết kế cây lau nhà dạn đứng với thiết kế tay cầm có cần gạt để điểu khiển việc phun nước, giúp dễ thao tác, tạo cảm giác thoải mái khi sử dụng.Lượng ...",289000,539000,,250000,46,70,,available,,1000,,48077,Lock&Lock
124039564,3390954218550,Mô Tả Sản Phẩm- Chiều cao phần ghế ngồi: 37~57cm- Diện tích ghế ngồi: 38x43cm- Diện tích tựa lưng: 41x32cm- Ghế có chân trụ kép chữ T chắc chắn được phủ sơn tĩnh điện hạn chế khả năng xuống cấp- ...,1034100,1149000,,114900,10,23,,available,,1000,,4250493,pehouse
71005991,4926834184111,Bình Xịt Dầu Ăn Thuỷ Tinh là dụng cụ nhà bếp hữu ích và cần thiết cho các bà nội trợ trong quá trình nấu nướng bởi nó giúp bạn căn được lượng dầu ăn mình sẽ sử dụng cho món ăn.Hoặc là khi nướng thức ...,157000,174000,,17000,10,827,,available,,1000,,48077,Lock&Lock
70656791,6725962688458,Loại sản phẩm: Giấy ănChất liệu: Bột treThành phần: 100% bột sợi tre nguyên chất...,125000,125000,,0,0,2017,,available,,1000,,863033,ycool
